date,open,high,low,close,volume
2020-01-01,100.628,100.9413,100.3147,100.628,2135765
2020-01-02,100.628,100.7129,100.2698,100.4913,7685115
2020-01-03,100.4913,101.6374,100.9743,101.3058,5419161
2020-01-06,101.3058,103.2067,103.2039,103.2053,3085181
2020-01-07,103.2053,103.0167,102.8765,102.9466,2769798
2020-01-08,102.9466,102.8747,102.5024,102.6886,4681726
2020-01-09,102.6886,104.9761,104.3929,104.6845,3939289
2020-01-10,104.6845,106.0886,105.2809,105.6847,7141620
2020-01-13,105.6847,105.1597,105.0854,105.1225,7934913
2020-01-14,105.1225,106.4665,105.2154,105.841,7034390
2020-01-15,105.841,105.7664,104.8048,105.2856,2505534
2020-01-16,105.2856,104.8114,104.6491,104.7302,632659
2020-01-17,104.7302,105.3675,104.765,105.0663,3098475
2020-01-20,105.0663,103.4792,101.9454,102.7123,1139872
2020-01-21,102.7123,100.6716,100.605,100.6383,4355798
2020-01-22,100.6383,100.0402,99.9428,99.9915,6783541
2020-01-23,99.9915,99.4114,98.215,98.8132,5441412
2020-01-24,98.8132,99.4667,98.966,99.2163,3459470
2020-01-27,99.2163,98.5727,97.7684,98.1705,1436320
2020-01-28,98.1705,97.2658,95.8337,96.5498,4386912
2020-01-29,96.5498,98.7724,97.8123,98.2924,5510168
2020-01-30,98.2924,98.2841,97.8275,98.0558,6770142
2020-01-31,98.0558,98.2537,98.0758,98.1648,5922569
2020-02-03,98.1648,96.9001,96.1592,96.5297,5908169
2020-02-04,96.5297,96.0727,95.7871,95.9299,6025908
2020-02-05,95.9299,96.505,95.668,96.0865,4961902
2020-02-06,96.0865,95.5115,94.0823,94.7969,2147824
2020-02-07,94.7969,95.8418,94.6658,95.2538,1650997
2020-02-10,95.2538,94.7831,94.4131,94.5981,3883973
2020-02-11,94.5981,94.7182,93.8736,94.2959,6310786
2020-02-12,94.2959,93.6983,93.5928,93.6455,5695756
2020-02-13,93.6455,96.4566,95.1015,95.7791,4625903
2020-02-14,95.7791,95.9161,95.6685,95.7923,5789991
2020-02-17,95.7923,94.6684,94.5566,94.6125,932829
2020-02-18,94.6125,95.7579,95.4015,95.5797,4911054
2020-02-19,95.5797,94.8189,93.6169,94.2179,4814896
2020-02-20,94.2179,94.6768,94.2886,94.4827,734000
2020-02-21,94.4827,92.5111,92.1177,92.3144,3377429
2020-02-24,92.3144,91.3073,90.4567,90.882,822137
2020-02-25,90.882,92.1712,90.0774,91.1243,7968684
2020-02-26,91.1243,91.9731,91.9529,91.963,3523504
2020-02-27,91.963,92.8334,91.5265,92.1799,3105221
2020-02-28,92.1799,92.6916,91.4678,92.0797,4420367
2020-03-02,92.0797,91.9429,91.6073,91.7751,7644013
2020-03-03,91.7751,90.4055,89.971,90.1883,3863244
2020-03-04,90.1883,89.6071,89.2717,89.4394,5073957
2020-03-05,89.4394,89.3284,88.6177,88.973,5804482
2020-03-06,88.973,90.2447,90.0271,90.1359,2800269
2020-03-09,90.1359,90.813,90.2581,90.5355,4931373
2020-03-10,90.5355,89.102,88.2317,88.6668,1066510
2020-03-11,88.6668,89.0747,89.0034,89.039,4481383
2020-03-12,89.039,88.7274,88.5829,88.6551,1790894
2020-03-13,88.6551,88.2732,87.6554,87.9643,6332501
2020-03-16,87.9643,88.9321,88.3457,88.6389,1208092
2020-03-17,88.6389,89.8506,89.688,89.7693,1597996
2020-03-18,89.7693,90.9388,90.6719,90.8054,1099792
2020-03-19,90.8054,90.2511,89.5938,89.9225,2075326
2020-03-20,89.9225,89.9042,89.3284,89.6163,2868756
2020-03-23,89.6163,90.5376,89.4629,90.0002,5317911
2020-03-24,90.0002,91.1861,90.9886,91.0873,4426690
2020-03-25,91.0873,90.6,90.5845,90.5923,5358939
2020-03-26,90.5923,90.688,90.1475,90.4178,6754597
2020-03-27,90.4178,90.1176,88.3866,89.2521,6791140
2020-03-30,89.2521,88.3177,87.6953,88.0065,1168629
2020-03-31,88.0065,89.1574,88.6334,88.8954,2202457
2020-04-01,88.8954,90.4828,90.2794,90.3811,1671248
2020-04-02,90.3811,90.3544,90.306,90.3302,4104886
2020-04-03,90.3302,91.6407,91.2632,91.452,1883640
2020-04-06,91.452,92.4515,91.303,91.8772,1013953
2020-04-07,91.8772,91.3891,91.0031,91.1961,6551865
2020-04-08,91.1961,91.911,91.3288,91.6199,7209038
2020-04-09,91.6199,93.823,92.8862,93.3546,4738340
2020-04-10,93.3546,93.4521,93.2329,93.3425,5891321
2020-04-13,93.3425,95.6564,94.6239,95.1401,6934323
2020-04-14,95.1401,92.3955,92.0513,92.2234,7910053
2020-04-15,92.2234,93.1787,93.1522,93.1654,5063653
2020-04-16,93.1654,93.8935,92.6881,93.2908,1185503
2020-04-17,93.2908,93.4178,92.5513,92.9845,922641
2020-04-20,92.9845,93.3885,92.8413,93.1149,2423217
2020-04-21,93.1149,91.2424,90.6528,90.9476,837283
2020-04-22,90.9476,90.8082,90.6626,90.7354,7552048
2020-04-23,90.7354,91.5712,90.7336,91.1524,2078232
2020-04-24,91.1524,93.1883,92.4341,92.8112,5277421
2020-04-27,92.8112,92.2862,92.2407,92.2635,891180
2020-04-28,92.2635,91.5569,91.2433,91.4001,6196390
2020-04-29,91.4001,91.1306,90.6267,90.8787,7592607
2020-04-30,90.8787,91.9749,91.8452,91.91,4199243
2020-05-01,91.91,92.4365,92.1655,92.301,5328022
2020-05-04,92.301,92.0473,91.4399,91.7436,2997934
2020-05-05,91.7436,92.37,92.3063,92.3381,6803762
2020-05-06,92.3381,92.8701,92.0769,92.4735,1078110
2020-05-07,92.4735,94.6763,92.4892,93.5827,4718346
2020-05-08,93.5827,92.9876,92.6634,92.8255,5102606
2020-05-11,92.8255,92.8234,92.1546,92.489,7464203
2020-05-12,92.489,92.9528,91.2121,92.0824,3210864
2020-05-13,92.0824,90.8721,90.141,90.5065,5441714
2020-05-14,90.5065,91.081,90.6309,90.856,4843699
2020-05-15,90.856,91.9187,90.4181,91.1684,7653314
2020-05-18,91.1684,91.2089,91.1937,91.2013,4210879
2020-05-19,91.2013,91.2371,90.7073,90.9722,3635609
2020-05-20,90.9722,89.5325,89.4016,89.467,7426767
2020-05-21,89.467,89.5329,88.5536,89.0432,1435783
2020-05-22,89.0432,88.9336,88.4752,88.7044,6052023
2020-05-25,88.7044,88.1618,87.5999,87.8809,2659932
